FishName,Ind,SlB102--1,SlB102--2,SlB4--1,SlB4--2,SlB7--1,SlB7--2,SlB106--1,SlB106--2,SlD11--1,SlD11--2,BWF2--1,BWF2--2,SlC8--1,SlC8--2,Cocl-Lav4--1,Cocl-Lav4--2,Cocl-Lav61--1,Cocl-Lav61--2,C2-157--1,C2-157--2,Sfo-8--1,Sfo-8--2,Sfo8b--1,Sfo8b--2,SlC3--1,SlC3--2,SlD1--1,SlD1--2,14
sheeNWAK93-100-663.001,ESEL9302.001,241,241,277,289,255,263,225,241,192,208,152,152,127,127,138,150,250,250,134,134,165,165,225,237,200,216,200,220,
sheeNWAK93-100-663.002,ESEL9302.002,241,241,281,285,255,255,241,249,208,208,152,160,127,135,150,150,250,250,140,140,165,165,237,239,196,200,208,240,
sheeNWAK93-100-663.003,ESEL9302.003,241,241,285,289,255,263,245,245,204,212,152,152,127,127,150,150,250,250,132,134,165,165,225,227,196,196,208,212,
sheeNWAK93-100-663.004,ESEL9302.004,241,241,273,285,255,255,225,241,208,208,152,160,131,131,150,150,250,250,134,134,165,165,233,239,200,200,212,252,
sheeNWAK93-100-663.005,ESEL9302.005,241,241,273,273,255,255,241,241,212,212,160,160,123,127,150,150,250,250,134,134,165,165,229,237,196,216,208,208,
sheeNWAK93-100-663.006,ESEL9302.006,241,241,265,277,255,255,241,241,208,208,160,160,131,135,150,150,250,260,134,136,165,165,225,233,196,196,208,208,
sheeNWAK93-100-663.007,ESEL9302.007,241,241,273,281,255,263,241,245,212,212,152,160,127,131,150,150,250,260,134,140,165,165,233,237,192,200,208,208,
sheeNWAK93-100-663.008,ESEL9302.008,241,241,289,289,263,263,241,245,204,204,152,152,127,135,0,0,250,260,134,134,165,165,225,249,196,200,208,208,
sheeNWAK93-100-663.009,ESEL9302.009,241,241,277,281,255,283,241,245,208,212,160,160,127,131,150,150,250,260,140,140,165,165,233,249,196,204,200,240,
sheeNWAK93-100-663.010,ESEL9302.010,241,241,273,289,255,255,225,241,208,208,152,152,127,127,150,150,250,250,134,140,165,165,225,225,192,200,216,252,
sheeNWAK93-100-663.011,ESEL9302.011,241,241,273,289,255,255,225,245,212,224,152,152,127,127,150,150,260,260,134,140,165,165,233,233,216,216,208,212,
sheeNWAK93-100-663.012,ESEL9302.012,241,241,273,281,255,255,241,245,212,212,152,152,127,131,150,150,250,250,132,134,165,165,233,249,188,200,240,248,
sheeNWAK93-100-663.013,ESEL9302.013,241,241,273,289,255,263,241,241,192,208,152,160,127,135,150,150,250,250,134,140,165,165,227,237,204,204,212,244,
sheeNWAK93-100-663.014,ESEL9302.014,241,241,273,289,255,255,241,241,204,212,152,160,127,127,150,150,250,250,134,140,165,165,229,241,212,216,240,240,
sheeNWAK93-100-663.015,ESEL9302.015,241,241,273,277,255,291,225,245,208,212,160,160,127,135,150,150,250,260,132,134,165,165,233,237,200,220,200,224,
sheeNWAK93-100-663.016,ESEL9302.016,241,241,273,277,255,255,245,245,204,208,160,160,127,127,150,150,250,250,140,140,165,165,225,249,204,204,208,236,
sheeNWAK93-100-663.017,ESEL9302.017,241,241,273,281,255,255,245,245,208,212,152,152,131,131,150,150,250,250,134,140,165,165,225,233,196,208,208,208,
sheeNWAK93-100-663.018,ESEL9302.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sheeNWAK93-100-663.019,ESEL9302.019,0,0,0,0,0,0,237,249,192,204,152,160,127,135,150,150,250,260,134,134,165,165,225,231,200,212,208,220,
sheeNWAK93-100-663.020,ESEL9302.020,241,241,273,289,255,255,241,241,208,212,152,160,127,127,150,150,250,260,134,140,165,165,225,233,216,228,208,212,
sheeNWAK93-100-663.021,ESEL9302.021,241,241,273,281,263,263,241,245,208,212,152,152,127,127,150,150,250,250,132,134,165,165,233,243,208,228,224,252,
sheeNWAK93-100-663.022,ESEL9302.022,241,241,273,289,255,283,245,245,192,204,152,160,127,127,150,150,250,260,134,144,165,165,225,229,204,220,200,224,
sheeNWAK93-100-663.023,ESEL9302.023,241,241,277,281,255,283,241,245,208,212,152,160,127,135,150,150,250,250,134,134,165,165,233,235,200,204,212,216,
sheeNWAK93-100-663.024,ESEL9302.024,241,241,277,289,283,283,241,245,212,228,152,160,127,127,150,150,250,250,132,132,165,165,225,237,196,208,200,212,
sheeNWAK93-100-663.025,ESEL9302.025,241,241,285,289,255,255,225,245,212,216,152,160,127,127,150,150,250,260,134,134,165,165,227,237,200,204,216,216,
sheeNWAK93-100-663.026,ESEL9302.026,241,241,273,285,255,291,245,245,204,212,152,160,127,135,150,150,250,250,134,134,165,165,231,233,204,216,220,236,
sheeNWAK93-100-663.027,ESEL9302.027,241,241,269,277,255,291,225,241,204,204,152,160,127,135,150,150,250,260,134,134,165,165,0,0,0,0,208,224,
sheeNWAK93-100-663.028,ESEL9302.028,241,241,269,273,255,283,241,245,208,208,160,160,127,127,150,150,250,254,134,140,165,165,237,249,200,220,220,248,
sheeNWAK93-100-663.029,ESEL9302.029,241,241,277,293,255,283,249,249,208,212,160,160,131,131,150,150,250,250,134,134,165,165,237,251,196,196,208,228,
sheeNWAK93-100-663.030,ESEL9302.030,241,241,277,289,255,263,241,241,204,228,152,160,127,127,150,150,250,250,134,134,165,165,233,237,0,0,208,236,
sheeNWAK93-100-663.031,ESEL9302.031,241,241,281,289,255,255,245,245,208,212,160,160,127,127,138,150,260,260,134,134,165,165,225,229,208,220,200,252,
sheeNWAK93-100-663.032,ESEL9302.032,241,241,273,289,243,251,241,245,212,212,152,160,127,139,150,152,260,260,134,140,165,165,225,237,208,220,208,240,
sheeNWAK93-100-663.033,ESEL9302.033,241,241,273,277,255,255,241,245,208,212,152,160,127,127,150,150,250,260,134,140,165,165,233,233,200,212,200,208,
