Region,Location,Collection,Ind
Kuskokwim River,Tonzona River,EKUS0703,EKUS0703.002
Kuskokwim River,Middle Fork,EKUS0703,EKUS0703.003
Kuskokwim River,Big River,EKUS0703,EKUS0703.005
Kuskokwim River,Big River,EKUS0703,EKUS0703.007
Kuskokwim River,Big River,EKUS0807,EKUS0807.014
Kuskokwim River,Middle Fork,EKUS0807,EKUS0807.016
Kuskokwim River,Big River,EKUS0807,EKUS0807.031
Kuskokwim River,Big River,EKUS0807,EKUS0807.032
Kuskokwim River,Big River,EKUS0807,EKUS0807.035
Kuskokwim River,Big River,EKUS0807,EKUS0807.036
Kuskokwim River,Middle Fork,EKUS0807,EKUS0807.038
Kuskokwim River,Big River,EKUS0807,EKUS0807.040
Kuskokwim River,Big River,EKUS0807,EKUS0807.041
Kuskokwim River,Big River,EKUS0807,EKUS0807.042
Kuskokwim River,Big River,EKUS0807,EKUS0807.043
Kuskokwim River,Big River,EKUS0807,EKUS0807.044
Kuskokwim River,Big River,EKUS0807,EKUS0807.045
Kuskokwim River,Big River,EKUS0807,EKUS0807.046
Kuskokwim River,Big River,EKUS0807,EKUS0807.047
Kuskokwim River,Middle Fork,EKUS0807,EKUS0807.048
Kuskokwim River,Big River,EKUS0807,EKUS0807.049
Kuskokwim River,Middle Fork,EKUS0807,EKUS0807.050
Kuskokwim River,Middle Fork,EKUS0807,EKUS0807.051
Kuskokwim River,Middle Fork,EKUS0807,EKUS0807.054
Kuskokwim River,Middle Fork,EKUS0807,EKUS0807.062
Kuskokwim River,Big River,EKUS0807,EKUS0807.063
Kuskokwim River,Big River,EKUS0807,EKUS0807.066
Kuskokwim River,Big River,EKUS0807,EKUS0807.073
Kuskokwim River,Big River,EKUS0807,EKUS0807.075
Kuskokwim River,Big River,EKUS0807,EKUS0807.077
Kuskokwim River,Big River,EKUS0807,EKUS0807.078
Kuskokwim River,Big River,EKUS0807,EKUS0807.079
Kuskokwim River,Big River,EKUS0807,EKUS0807.081
Kuskokwim River,Big River,EKUS0807,EKUS0807.082
Kuskokwim River,Big River,EKUS0807,EKUS0807.083
Kuskokwim River,Big River,EKUS0807,EKUS0807.084
Kuskokwim River,Big River,EKUS0807,EKUS0807.085
Kuskokwim River,Big River,EKUS0807,EKUS0807.086
Kuskokwim River,Big River,EKUS0807,EKUS0807.087
Kuskokwim River,Big River,EKUS0807,EKUS0807.089
Kuskokwim River,Big River,EKUS0807,EKUS0807.090
Kuskokwim River,Big River,EKUS0807,EKUS0807.091
Kuskokwim River,Tonzona River,EKUS0807,EKUS0807.093
Kuskokwim River,Big River,EKUS0807,EKUS0807.095
Kuskokwim River,Big River,EKUS0807,EKUS0807.096
Kuskokwim River,Big River,EKUS0807,EKUS0807.099
Kuskokwim River,Big River,EKUS0807,EKUS0807.100
Kuskokwim River,Tonzona River,EKUS0807,EKUS0807.101
Kuskokwim River,Big River,EKUS0807,EKUS0807.102
Kuskokwim River,Big River,EKUS0807,EKUS0807.103
Kuskokwim River,Big River,EKUS0807,EKUS0807.104
Kuskokwim River,Big River,EKUS0807,EKUS0807.105
Kuskokwim River,Big River,EKUS0807,EKUS0807.106
Kuskokwim River,Big River,EKUS0807,EKUS0807.108
